Key 	A03.003_Az_T00130.txt_000001_to_1064.txt 	A01.003_Dan_T00030.txt_000001_to_450.txt 	A01.003_Dan_T00030.txt_000451_to_900.txt 	A01.003_Dan_T00030.txt_000901_to_1350.txt 	A01.003_Dan_T00030.txt_001351_to_1800.txt 	A01.003_Dan_T00030.txt_001801_to_2250.txt 	A01.003_Dan_T00030.txt_002251_to_2700.txt 	A01.003_Dan_T00030.txt_002701_to_3150.txt 	A01.003_Dan_T00030.txt_003151_to_3600.txt 	A01.003_Dan_T00030.txt_003601_to_4050.txt 	A01.003_Dan_T00030.txt_004051_to_4472.txt 
scyppend	2	0	0	0	1	1	1	0	0	0	0
rices	0	1	1	0	0	0	1	0	0	1	1
heora	0	0	0	1	1	1	1	1	0	0	0
&thorn;enden	1	3	1	0	0	0	0	0	0	0	0
cw&aelig;&thorn;	0	0	0	0	0	0	1	0	2	1	1
gehwilc	0	0	0	0	0	3	2	0	0	0	0
hyrde	3	1	0	1	0	0	0	0	0	0	0
had	3	0	0	0	1	1	0	0	0	0	0
lafe	0	2	1	0	0	0	1	0	0	0	0
gastes	0	1	1	0	0	0	1	0	0	0	1
folc	0	1	0	1	0	0	0	0	0	0	2
burga	0	1	0	0	0	0	0	0	0	1	2
mihtum	0	0	0	0	1	1	1	0	0	1	0
bi&thorn;	1	0	0	0	0	1	0	0	2	0	0
h&aelig;le&thorn;	0	1	0	0	0	0	1	0	0	1	1
leode	1	0	0	0	0	0	0	2	0	1	0
hwile	1	1	0	0	0	1	0	0	0	1	0
h&aelig;&thorn;enan	0	0	1	0	1	0	2	0	0	0	0
&thorn;uhte	0	0	0	0	1	0	0	3	0	0	0
heriga&thorn;	0	0	0	0	0	0	4	0	0	0	0
worulde	2	0	0	0	1	0	1	0	0	0	0
heredon	1	0	0	0	1	1	1	0	0	0	0
user	1	0	0	0	3	0	0	0	0	0	0
wuldorcyning	2	0	0	0	0	1	1	0	0	0	0
frea	0	0	0	1	0	1	1	0	1	0	0
eallum	0	0	0	0	0	0	1	1	2	0	0
lige	1	0	0	2	1	0	0	0	0	0	0
lice	2	0	0	0	0	1	1	0	0	0	0
nym&thorn;e	0	0	1	1	0	0	0	0	2	0	0
foran	0	1	1	0	0	0	1	0	1	0	0
stod	0	1	0	0	0	0	0	1	1	1	0
wuldres	1	1	0	0	1	0	0	0	0	0	1
mihta	0	0	0	0	0	1	2	0	1	0	0
wuldre	1	0	0	1	0	1	1	0	0	0	0
georn	1	1	1	0	1	0	0	0	0	0	0
meotud	4	0	0	0	0	0	0	0	0	0	0
beam	0	0	0	0	0	0	0	1	3	0	0
seld	0	0	1	0	0	0	0	0	0	0	3
gestreon	0	1	0	0	0	0	0	0	0	1	2
generede	0	0	0	1	2	0	1	0	0	0	0
wuldor	2	1	0	0	0	1	0	0	0	0	0
geonge	2	0	0	1	0	0	1	0	0	0	0
sceoldon	0	1	1	0	0	0	0	0	0	2	0
wlite	0	0	0	0	2	1	1	0	0	0	0
innan	0	0	0	0	3	0	0	0	0	0	1
so&thorn;e	2	0	0	0	1	0	1	0	0	0	0
eorlum	0	1	0	1	0	0	0	0	1	0	1
mode	0	0	0	1	0	0	0	1	0	1	1
beorht	1	1	0	0	0	1	0	1	0	0	0
hige	0	0	1	1	0	0	0	0	1	1	0
sende	0	1	0	0	1	0	0	2	0	0	0
up	0	0	0	0	1	0	1	1	0	1	0
gryre	0	0	0	0	0	0	1	2	1	0	0
brego	1	1	0	0	1	0	1	0	0	0	0
&aelig;	1	0	1	1	0	0	0	0	0	0	1
secan	0	2	0	0	0	0	1	1	0	0	0
caldeas	1	0	0	0	0	1	0	0	0	1	1
lufan	1	2	0	0	0	1	0	0	0	0	0
cnihtas	0	1	1	1	0	0	1	0	0	0	0
h&aelig;le&thorn;a	0	0	0	1	0	0	1	0	0	2	0
modum	2	0	0	0	0	1	1	0	0	0	0
middangeard	1	0	1	0	0	0	0	1	0	1	0
hatan	1	0	0	0	1	1	0	1	0	0	0
heah	0	0	0	0	0	0	0	0	3	1	0
bletsige	3	0	0	0	0	1	0	0	0	0	0
becwom	0	0	0	1	1	1	0	0	0	1	0
heofonum	1	0	0	0	0	0	0	0	2	1	0
gecy&thorn;ed	0	0	1	0	0	0	1	1	0	1	0
gefr&aelig;gn	0	2	0	0	0	0	0	1	0	0	1
miltsum	3	0	0	0	0	1	0	0	0	0	0
r&aelig;swa	0	0	0	0	0	0	1	1	0	2	0
gylp	0	0	0	0	0	0	0	0	1	0	3
gehw&aelig;s	1	0	1	0	0	0	2	0	0	0	0
min	0	0	1	0	0	0	1	0	1	1	0
seofon	0	0	0	0	0	0	0	0	2	2	0
gecw&aelig;&thorn;	0	0	0	0	0	0	0	0	2	0	2
snytro	0	1	1	0	0	0	0	0	2	0	0
wisdom	0	1	3	0	0	0	0	0	0	0	0
wide	0	0	0	0	0	0	0	0	0	4	0
m&aelig;nigeo	0	0	2	0	0	1	0	0	0	0	1
meahte	1	1	1	1	0	0	0	0	0	0	0
&thorn;as	3	0	0	0	0	1	0	0	0	0	0
sie	0	0	0	0	0	1	1	0	1	0	1
misael	0	0	1	0	0	1	1	0	0	0	0
eorlas	0	1	0	1	1	0	0	0	0	0	0
yrre	0	0	0	2	0	0	0	0	1	0	0
gastas	0	1	0	0	0	1	1	0	0	0	0
winter	0	0	0	0	0	0	0	0	1	2	0
dreamas	0	1	1	0	0	0	1	0	0	0	0
meaht	2	0	1	0	0	0	0	0	0	0	0
wlitig	1	0	0	0	1	0	0	1	0	0	0
cr&aelig;ftas	0	0	0	1	0	0	1	1	0	0	0
reorde	1	0	0	0	0	1	0	1	0	0	0
sefa	0	0	1	0	0	0	1	0	0	1	0
